word,freq
ooh,153
happy,121
worry,34
you,20
made,17
because,16
along,16
clap,16
like,15
bring,14
together,13
feel,12
days,12
don't,9
love,9
happiness,8
nothing,6
mine,6
life,6
got,5
and,5
now,5
roof,4
room,4
without,4
truth,4
know,4
wanna,4
here,4
high,4
said,4
day,4
for,4
the,4
note,4
make,4
ain,4
say,3
baby,3
